Robot,right_bump_sensor,left_bump_sensor,Force
1,768,776,5449.01
1,808,956,108080.44
1,836,912,20231.42
1,856,964,31023.86
1,816,1028,45028.20
1,788,1040,94320.36
1,776,952,52456.69
1,764,984,33505.92
1,772,980,90613.95
1,792,1004,99339.18
1,744,1028,36236.01
1,1048,904,73051.28
1,912,876,33807.89
1,876,884,108376.14
1,828,936,31335.06
1,748,992,55818.64
1,780,744,20303.17
1,772,780,46323.61
1,752,1028,167703.29
1,732,808,240423.45
1,768,776,12549.67
1,752,760,78999.29
1,748,756,1488.40
1,732,776,1684.98
1,772,780,7596.62
1,772,880,96727.86
1,740,952,72309.89
1,816,772,153372.23
1,920,1064,14166.66
1,856,900,41607.14
1,768,908,58163.03
1,748,892,11870.34
1,792,968,63267.81
1,748,960,16679.54
1,920,884,39200.83
1,752,960,22362.47
1,964,928,78176.57
1,784,968,59184.80
1,752,928,66312.92
1,748,824,111561.36
1,876,920,34541.28
1,768,948,80738.47
1,768,884,48613.35
1,772,880,72460.64
1,744,924,14004.76
1,744,820,35849.60
1,728,768,52486.87
1,816,924,48275.88
1,768,1016,80686.47
1,748,960,18202.91
1,828,876,8184.20
1,816,956,100479.82
1,768,948,28231.56
1,772,948,116262.14
1,836,1012,47360.15
1,920,880,38803.90
1,948,840,62653.64
1,948,840,29063.02
1,912,840,111582.16
1,912,840,29851.99
1,944,836,11852.45
1,912,840,35199.22
1,928,824,33298.28
1,1208,780,95861.24
1,1116,968,57988.76
1,992,772,18510.12
1,744,792,107108.58
1,876,920,6637.86
1,872,980,10211.55
1,792,936,45702.44
1,824,972,43953.66
1,748,992,65576.39
1,860,752,97374.64
1,748,928,139202.68
1,872,916,62054.74
1,836,912,81477.82
1,828,972,132547.56
1,744,1064,42881.17
1,816,956,45809.64
1,772,948,80824.82
1,808,988,29806.44
1,748,992,31305.68
1,748,756,125537.17
1,872,920,27017.28
1,744,960,54952.83
1,828,936,36724.69
1,748,960,17623.26
1,1000,920,27439.88
1,856,868,11509.21
1,828,904,26126.61
1,836,912,42613.23
1,816,924,37533.57
1,816,924,9699.21
1,812,856,128438.45
1,792,836,122321.09
1,832,844,36520.97
1,1004,856,77737.25
1,944,800,89818.89
1,792,836,155654.23
1,776,1020,21269.73
1,748,960,40167.47
1,876,840,50230.98
1,900,908,35920.44
1,852,900,36673.51
1,852,932,24845.91
1,832,944,17648.48
1,828,944,149764.78
1,776,916,43532.45
1,784,968,105885.19
1,772,980,103345.88
1,764,1016,49537.41
1,752,964,56542.57
1,828,752,110789.03
1,744,924,54664.85
1,852,772,30110.79
1,732,872,46366.84
1,828,792,62021.44
1,732,872,90386.60
1,808,816,76082.28
1,880,888,6760.61
1,940,904,35066.81
1,992,776,55939.70
1,808,852,134132.03
1,872,880,76420.53
1,876,920,99340.31
1,868,912,32018.13
1,872,920,96544.14
1,860,936,33904.00
1,856,900,53450.76
1,900,908,29420.24
1,856,936,21854.01
1,832,912,40313.51
1,792,936,26846.23
1,792,1036,46589.14
1,776,1016,18330.13
1,740,992,64644.91
1,916,924,1536256.62
1,900,908,43779.68
1,876,884,111137.85
1,912,920,38795.10
1,876,888,68163.87
1,772,948,27438.99
1,772,980,47337.97
1,788,964,38727.05
1,748,924,59411.26
1,788,1140,111964.26
1,828,1212,83793.55
1,832,1248,52548.50
1,772,1180,74754.53
1,768,1188,31614.63
1,776,1188,48523.01
1,772,1152,41528.31
1,776,1016,41003.39
1,772,1052,34651.12
1,772,1080,9390.09
1,768,1084,54126.98
1,768,1048,8847.26
1,772,1080,17682.19
1,768,1052,41481.21
1,752,1064,30512.83
1,732,1180,29168.80
1,812,1060,77352.12
1,832,1180,47304.52
1,836,1180,39405.23
1,836,1220,19559.00
1,828,1212,68896.32
1,852,1204,27050.32
1,816,1220,28546.07
1,772,1112,29775.62
1,768,780,52314.26
1,732,772,246878.26
1,752,760,7620.61
1,1924,820,10162.14
1,768,776,184450.65
1,744,752,29172.67
1,744,752,13772.45
1,744,752,4969.03
1,768,1252,51857.69
1,748,992,32488.38
1,748,860,44688.21
1,744,788,339404.18
1,744,792,8480.90
1,744,752,6869.83
1,740,780,5350.54
1,744,788,5379.04
1,732,776,9717.87
