Misalignment_count,Time_in_secs
1,7.96
1,8.16
1,8.36
1,8.57
1,8.77
2,8.98
2,9.18
2,9.39
3,9.59
3,9.8
3,10
3,10.21
4,10.41
4,11.61
4,11.82
4,12.02
5,12.23
6,12.43
7,12.64
8,12.84
8,13.05
9,13.25
10,13.46
10,13.66
10,13.87
11,14.07
11,14.27
12,14.48
12,14.69
12,14.89
12,16.09
13,16.3
13,17.5
14,17.71
15,17.91
15,19.12
15,19.32
15,20.53
15,20.73
15,20.93
16,21.14
16,21.34
17,21.55
17,21.75
18,21.96
19,22.16
19,22.37
20,22.57
21,22.78
21,22.98
22,23.19
22,23.39
22,23.6
22,23.8
22,24.01
22,24.22
22,24.42
22,24.63
22,24.84
22,25.04
22,25.25
22,25.46
22,25.67
22,25.87
22,26.08
22,26.29
22,26.49
22,26.7
22,27.9
22,28.11
22,28.31
23,28.52
24,28.73
25,28.93
